soc_code,element_name,importance_score,source
11-1011,Reading Comprehension,4.12,skill
11-1011,Reading Comprehension,4.62,skill
11-1011,Active Listening,4.0,skill
11-1011,Active Listening,4.75,skill
11-1011,Writing,4.12,skill
11-1011,Writing,4.38,skill
11-1011,Speaking,4.25,skill
11-1011,Speaking,4.75,skill
11-1011,Mathematics,3.25,skill
11-1011,Mathematics,3.5,skill
11-1011,Science,1.62,skill
11-1011,Science,0.75,skill
11-1011,Critical Thinking,4.38,skill
11-1011,Critical Thinking,4.75,skill
11-1011,Active Learning,3.75,skill
11-1011,Active Learning,4.5,skill
11-1011,Learning Strategies,3.12,skill
11-1011,Learning Strategies,3.75,skill
11-1011,Monitoring,4.0,skill
11-1011,Monitoring,5.25,skill
11-1011,Reading Comprehension,4.0,skill
11-1011,Reading Comprehension,4.25,skill
11-1011,Active Listening,4.0,skill
11-1011,Active Listening,4.0,skill
11-1011,Writing,4.12,skill
11-1011,Writing,4.25,skill
11-1011,Speaking,4.0,skill
11-1011,Speaking,4.12,skill
11-1011,Mathematics,2.88,skill
11-1011,Mathematics,3.12,skill
11-1011,Science,2.12,skill
11-1011,Science,1.88,skill
11-1011,Critical Thinking,4.12,skill
11-1011,Critical Thinking,4.12,skill
11-1011,Active Learning,3.75,skill
11-1011,Active Learning,3.88,skill
11-1011,Learning Strategies,3.38,skill
11-1011,Learning Strategies,3.75,skill
11-1011,Monitoring,3.75,skill
11-1011,Monitoring,4.0,skill
11-1021,Reading Comprehension,4.0,skill
11-1021,Reading Comprehension,4.0,skill
11-1021,Active Listening,4.0,skill
11-1021,Active Listening,4.12,skill
11-1021,Writing,3.5,skill
11-1021,Writing,3.88,skill
11-1021,Speaking,4.0,skill
11-1021,Speaking,4.12,skill
11-1021,Mathematics,2.62,skill
11-1021,Mathematics,2.75,skill
11-1021,Science,1.5,skill
11-1021,Science,0.62,skill
11-1021,Critical Thinking,3.88,skill
11-1021,Critical Thinking,3.88,skill
11-1021,Active Learning,3.62,skill
11-1021,Active Learning,3.75,skill
11-1021,Learning Strategies,3.0,skill
11-1021,Learning Strategies,3.12,skill
11-1021,Monitoring,4.0,skill
11-1021,Monitoring,4.12,skill
11-2011,Reading Comprehension,3.75,skill
11-2011,Reading Comprehension,4.0,skill
11-2011,Active Listening,4.12,skill
11-2011,Active Listening,4.12,skill
11-2011,Writing,3.75,skill
11-2011,Writing,3.88,skill
11-2011,Speaking,4.0,skill
11-2011,Speaking,4.12,skill
11-2011,Mathematics,3.0,skill
11-2011,Mathematics,3.25,skill
11-2011,Science,1.62,skill
11-2011,Science,0.62,skill
11-2011,Critical Thinking,4.0,skill
11-2011,Critical Thinking,4.12,skill
11-2011,Active Learning,3.25,skill
11-2011,Active Learning,4.12,skill
11-2011,Learning Strategies,3.0,skill
11-2011,Learning Strategies,3.25,skill
11-2011,Monitoring,3.25,skill
11-2011,Monitoring,4.25,skill
11-2021,Reading Comprehension,3.88,skill
11-2021,Reading Comprehension,4.25,skill
11-2021,Active Listening,3.88,skill
11-2021,Active Listening,4.12,skill
11-2021,Writing,3.25,skill
11-2021,Writing,3.88,skill
11-2021,Speaking,3.88,skill
11-2021,Speaking,4.12,skill
11-2021,Mathematics,2.75,skill
11-2021,Mathematics,3.12,skill
11-2021,Science,1.75,skill
11-2021,Science,1.5,skill
11-2021,Critical Thinking,3.88,skill
11-2021,Critical Thinking,4.25,skill
11-2021,Active Learning,3.88,skill
11-2021,Active Learning,4.12,skill
11-2021,Learning Strategies,3.12,skill
11-2021,Learning Strategies,3.5,skill
11-2021,Monitoring,3.75,skill
11-2021,Monitoring,4.25,skill
11-2022,Reading Comprehension,3.88,skill
11-2022,Reading Comprehension,4.0,skill
11-2022,Active Listening,4.0,skill
11-2022,Active Listening,4.0,skill
11-2022,Writing,3.62,skill
11-2022,Writing,4.0,skill
11-2022,Speaking,4.0,skill
11-2022,Speaking,4.0,skill
11-2022,Mathematics,3.0,skill
11-2022,Mathematics,3.12,skill
11-2022,Science,1.62,skill
11-2022,Science,0.62,skill
11-2022,Critical Thinking,3.88,skill
11-2022,Critical Thinking,4.0,skill
11-2022,Active Learning,3.75,skill
11-2022,Active Learning,3.88,skill
11-2022,Learning Strategies,3.12,skill
11-2022,Learning Strategies,3.62,skill
11-2022,Monitoring,3.88,skill
11-2022,Monitoring,4.62,skill
11-2033,Reading Comprehension,3.88,skill
11-2033,Reading Comprehension,3.88,skill
11-2033,Active Listening,4.0,skill
11-2033,Active Listening,4.0,skill
11-2033,Writing,3.88,skill
11-2033,Writing,4.0,skill
11-2033,Speaking,4.12,skill
11-2033,Speaking,3.88,skill
11-2033,Mathematics,3.0,skill
11-2033,Mathematics,2.75,skill
11-2033,Science,1.25,skill
11-2033,Science,0.25,skill
11-2033,Critical Thinking,4.12,skill
11-2033,Critical Thinking,3.88,skill
11-2033,Active Learning,3.38,skill
11-2033,Active Learning,3.62,skill
11-2033,Learning Strategies,2.62,skill
11-2033,Learning Strategies,2.75,skill
11-2033,Monitoring,3.12,skill
11-2033,Monitoring,3.88,skill
11-3012,Reading Comprehension,4.0,skill
11-3012,Reading Comprehension,4.0,skill
11-3012,Active Listening,4.0,skill
11-3012,Active Listening,4.0,skill
11-3012,Writing,3.75,skill
11-3012,Writing,3.75,skill
11-3012,Speaking,3.88,skill
11-3012,Speaking,3.88,skill
11-3012,Mathematics,2.25,skill
11-3012,Mathematics,2.12,skill
11-3012,Science,1.0,skill
11-3012,Science,0.0,skill
11-3012,Critical Thinking,3.75,skill
11-3012,Critical Thinking,3.88,skill
11-3012,Active Learning,3.12,skill
11-3012,Active Learning,3.38,skill
11-3012,Learning Strategies,3.0,skill
11-3012,Learning Strategies,3.25,skill
11-3012,Monitoring,3.38,skill
11-3012,Monitoring,3.62,skill
11-3013,Reading Comprehension,3.75,skill
11-3013,Reading Comprehension,3.88,skill
11-3013,Active Listening,3.75,skill
11-3013,Active Listening,3.75,skill
11-3013,Writing,3.25,skill
11-3013,Writing,3.75,skill
11-3013,Speaking,3.88,skill
11-3013,Speaking,3.75,skill
11-3013,Mathematics,2.75,skill
11-3013,Mathematics,2.75,skill
11-3013,Science,1.5,skill
11-3013,Science,0.75,skill
11-3013,Critical Thinking,3.75,skill
11-3013,Critical Thinking,3.75,skill
11-3013,Active Learning,3.12,skill
11-3013,Active Learning,3.12,skill
11-3013,Learning Strategies,3.0,skill
11-3013,Learning Strategies,3.25,skill
11-3013,Monitoring,3.75,skill
11-3013,Monitoring,3.88,skill
11-3013,Reading Comprehension,4.12,skill
11-3013,Reading Comprehension,4.0,skill
11-3013,Active Listening,4.12,skill
11-3013,Active Listening,4.0,skill
11-3013,Writing,3.75,skill
11-3013,Writing,3.88,skill
11-3013,Speaking,4.0,skill
11-3013,Speaking,4.0,skill
11-3013,Mathematics,2.5,skill
11-3013,Mathematics,2.38,skill
11-3013,Science,1.38,skill
11-3013,Science,0.38,skill
11-3013,Critical Thinking,4.25,skill
11-3013,Critical Thinking,4.12,skill
11-3013,Active Learning,3.62,skill
11-3013,Active Learning,3.62,skill
11-3013,Learning Strategies,3.38,skill
11-3013,Learning Strategies,3.5,skill
11-3013,Monitoring,4.0,skill
11-3013,Monitoring,4.62,skill
11-3021,Reading Comprehension,4.0,skill
11-3021,Reading Comprehension,4.0,skill
11-3021,Active Listening,4.0,skill
11-3021,Active Listening,4.0,skill
11-3021,Writing,3.75,skill
11-3021,Writing,4.0,skill
11-3021,Speaking,3.88,skill
11-3021,Speaking,3.88,skill
11-3021,Mathematics,3.12,skill
11-3021,Mathematics,3.12,skill
11-3021,Science,1.75,skill
11-3021,Science,1.38,skill
11-3021,Critical Thinking,4.12,skill
11-3021,Critical Thinking,4.0,skill
11-3021,Active Learning,3.38,skill
11-3021,Active Learning,3.88,skill
11-3021,Learning Strategies,3.25,skill
11-3021,Learning Strategies,3.5,skill
11-3021,Monitoring,3.88,skill
11-3021,Monitoring,4.38,skill
11-3031,Reading Comprehension,4.0,skill
11-3031,Reading Comprehension,4.38,skill
11-3031,Active Listening,4.0,skill
11-3031,Active Listening,4.38,skill
11-3031,Writing,3.75,skill
11-3031,Writing,3.62,skill
11-3031,Speaking,4.0,skill
11-3031,Speaking,4.12,skill
11-3031,Mathematics,3.5,skill
11-3031,Mathematics,3.62,skill
11-3031,Science,1.25,skill
11-3031,Science,0.25,skill
11-3031,Critical Thinking,4.0,skill
11-3031,Critical Thinking,4.25,skill
11-3031,Active Learning,3.5,skill
