category,skill,postings,total,share
Accounting and Finance,Excel,59,240,0.2458
Accounting and Finance,SQL,25,240,0.1042
Accounting and Finance,Powerpoint,22,240,0.0917
Accounting and Finance,Power BI,22,240,0.0917
Accounting and Finance,Microsoft Power Automate,15,240,0.0625
Accounting and Finance,Microsoft Excel,15,240,0.0625
Accounting and Finance,Tableau,14,240,0.0583
Accounting and Finance,Machine Learning,11,240,0.0458
Accounting and Finance,Python,8,240,0.0333
Accounting and Finance,TikTok,7,240,0.0292
Accounting and Finance,Oracle Database,6,240,0.025
Accounting and Finance,LinkedIn,6,240,0.025
Accounting and Finance,Tax software,6,240,0.025
Accounting and Finance,Oracle NetSuite,5,240,0.0208
Accounting and Finance,Microsoft SharePoint,5,240,0.0208
Accounting and Finance,Oracle Essbase,5,240,0.0208
Accounting and Finance,Instagram,4,240,0.0167
Accounting and Finance,YouTube,4,240,0.0167
Accounting and Finance,Looker,3,240,0.0125
Accounting and Finance,Google,3,240,0.0125
Accounting and Finance,HTML,3,240,0.0125
Advertising and Marketing,Excel,24,240,0.1
Advertising and Marketing,Powerpoint,14,240,0.0583
Advertising and Marketing,Apache HTTP Server,10,240,0.0417
Advertising and Marketing,TikTok,9,240,0.0375
Advertising and Marketing,Spark,7,240,0.0292
Advertising and Marketing,Microsoft Excel,5,240,0.0208
Advertising and Marketing,Instagram,5,240,0.0208
Advertising and Marketing,Airtable,4,240,0.0167
Advertising and Marketing,Oracle Database,4,240,0.0167
Advertising and Marketing,YouTube,4,240,0.0167
Advertising and Marketing,LinkedIn,4,240,0.0167
Advertising and Marketing,Tableau,3,240,0.0125
Advertising and Marketing,E-Verify,3,240,0.0125
Advertising and Marketing,Google,3,240,0.0125
Business Operations,Excel,31,240,0.1292
Business Operations,Powerpoint,12,240,0.05
Business Operations,Apache HTTP Server,7,240,0.0292
Business Operations,Instagram,5,240,0.0208
Business Operations,E-Verify,5,240,0.0208
Business Operations,Google,5,240,0.0208
Business Operations,Tableau,5,240,0.0208
Business Operations,Facebook,4,240,0.0167
Business Operations,Oracle Database,4,240,0.0167
Business Operations,LinkedIn,4,240,0.0167
Business Operations,SQL,4,240,0.0167
Business Operations,WhatsApp,3,240,0.0125
Business Operations,Python,3,240,0.0125
Business Operations,ServiceNow,3,240,0.0125
Data and Analytics,Python,75,240,0.3125
Data and Analytics,SQL,75,240,0.3125
Data and Analytics,Machine Learning,55,240,0.2292
Data and Analytics,Spark,35,240,0.1458
Data and Analytics,Excel,32,240,0.1333
Data and Analytics,Tableau,24,240,0.1
Data and Analytics,GCP,23,240,0.0958
Data and Analytics,Data Engineering,23,240,0.0958
Data and Analytics,Scala,21,240,0.0875
Data and Analytics,TikTok,20,240,0.0833
Data and Analytics,Oracle Database,20,240,0.0833
Data and Analytics,Power BI,19,240,0.0792
Data and Analytics,PyTorch,18,240,0.075
Data and Analytics,Statistical Analysis,17,240,0.0708
Data and Analytics,Java,17,240,0.0708
Data and Analytics,Programming languages,17,240,0.0708
Data and Analytics,LinkedIn,17,240,0.0708
Data and Analytics,Deep Learning,16,240,0.0667
Data and Analytics,TensorFlow,15,240,0.0625
Data and Analytics,Microsoft Power Automate,15,240,0.0625
Data and Analytics,Google Cloud,14,240,0.0583
Data and Analytics,Scikit-Learn,13,240,0.0542
Data and Analytics,Snowflake,13,240,0.0542
Data and Analytics,Microsoft Excel,12,240,0.05
Data and Analytics,Apache Hive,12,240,0.05
Data and Analytics,NoSQL,11,240,0.0458
Data and Analytics,Powerpoint,11,240,0.0458
Data and Analytics,Apache Hadoop,10,240,0.0417
Data and Analytics,Jira,10,240,0.0417
Data and Analytics,MLOps,10,240,0.0417
Data and Analytics,Natural Language Processing,9,240,0.0375
Data and Analytics,CI/CD,9,240,0.0375
Data and Analytics,Kafka,9,240,0.0375
Data and Analytics,Microsoft SharePoint,8,240,0.0333
Data and Analytics,Devops,8,240,0.0333
Data and Analytics,Apache HTTP Server,8,240,0.0333
