soc_code,typical_education,typical_experience,typical_training,growth_pct,openings_k,median_wage,current_emp_k,proj_emp_k
11-1000,,,,4.4,,,4049.9000000000005,4228.1
11-1011,Bachelor's degree,5 years or more,No on-the-job training,4.3,22.2,206420.0,309.4,322.7
11-1021,Bachelor's degree,5 years or more,No on-the-job training,4.4,308.7,102950.0,3712.8,3876.8
11-1031,Bachelor's degree,Less than 5 years,No on-the-job training,3.4,2.2,44810.0,27.700000000000003,28.6
11-2000,,,,5.2,,,1182.3,1243.5
11-2011,Bachelor's degree,Less than 5 years,No on-the-job training,-2.2,2.1,126960.0,27.0,26.4
11-2020,,,,5.4,,,1026.5,1082.2
11-2021,Bachelor's degree,5 years or more,No on-the-job training,6.6,34.3,161030.0,407.0,433.7
11-2022,Bachelor's degree,Less than 5 years,No on-the-job training,4.7,49.0,138060.0,619.5,648.5
11-2030,,,,4.7,,,128.8,134.9
11-2032,Bachelor's degree,5 years or more,No on-the-job training,5.0,6.6,138520.0,83.2,87.3
11-2033,Bachelor's degree,5 years or more,No on-the-job training,4.2,3.6,123480.0,45.7,47.6
11-3000,,,,10.1,,,2789.6000000000004,3072.3
11-3010,,,,4.3,,,422.59999999999997,440.9
11-3012,Bachelor's degree,Less than 5 years,No on-the-job training,4.6,23.2,108390.0,271.2,283.8
11-3013,Bachelor's degree,Less than 5 years,No on-the-job training,3.8,13.2,104690.0,151.4,157.1
11-3021,Bachelor's degree,5 years or more,No on-the-job training,15.2,55.6,171200.0,667.1,768.7
11-3031,Bachelor's degree,5 years or more,No on-the-job training,14.8,74.6,161700.0,868.5999999999999,997.4
11-3051,Bachelor's degree,5 years or more,No on-the-job training,1.9,17.1,121440.0,241.9,246.5
11-3061,Bachelor's degree,5 years or more,No on-the-job training,3.1,6.4,139510.0,83.5,86.1
11-3071,High school diploma or equivalent,5 years or more,No on-the-job training,6.1,18.5,102010.0,216.70000000000002,229.8
11-3111,Bachelor's degree,5 years or more,No on-the-job training,0.2,1.5,140360.0,20.9,20.9
11-3121,Bachelor's degree,5 years or more,No on-the-job training,5.0,17.9,140030.0,221.9,233.0
11-3131,Bachelor's degree,5 years or more,No on-the-job training,5.8,3.8,127090.0,46.5,49.2
11-9000,,,,5.6,,,5585.8,5897.1
11-9013,High school diploma or equivalent,5 years or more,No on-the-job training,-1.3,85.5,87980.0,836.1,825.0
11-9021,Bachelor's degree,No experience required,Moderate-term on-the-job training,8.7,46.8,106980.0,550.3,598.4
11-9030,,,,-0.3,,,710.2,708.2
11-9031,Bachelor's degree,Less than 5 years,No on-the-job training,-2.5,5.5,56270.0,90.2,87.9
11-9032,Master's degree,5 years or more,No on-the-job training,-1.5,20.8,104070.0,333.20000000000005,328.1
11-9033,Master's degree,Less than 5 years,No on-the-job training,1.7,15.1,103960.0,226.5,230.5
11-9039,Bachelor's degree,Less than 5 years,No on-the-job training,2.5,4.1,89040.0,60.2,61.7
11-9041,Bachelor's degree,5 years or more,No on-the-job training,3.8,14.5,167740.0,212.5,220.5
11-9051,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,6.4,42.0,65310.0,352.7,375.3
11-9070,,,,7.0,,,48.300000000000004,51.7
11-9071,High school diploma or equivalent,Less than 5 years,No on-the-job training,1.2,0.6,85580.0,5.1000000000000005,5.2
11-9072,Bachelor's degree,Less than 5 years,No on-the-job training,7.7,5.5,77180.0,43.2,46.5
11-9081,High school diploma or equivalent,Less than 5 years,No on-the-job training,3.4,5.4,68130.0,52.0,53.8
11-9111,Bachelor's degree,Less than 5 years,No on-the-job training,23.2,62.1,117960.0,616.2,759.1
11-9121,Bachelor's degree,5 years or more,No on-the-job training,3.7,8.5,161180.0,104.3,108.2
11-9131,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,-3.5,0.9,92730.0,13.2,12.7
11-9141,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,3.6,39.0,66700.0,466.1,483.1
11-9151,Bachelor's degree,Less than 5 years,No on-the-job training,6.4,18.6,78240.0,219.8,233.9
11-9161,Bachelor's degree,5 years or more,No on-the-job training,3.0,1.0,86130.0,13.2,13.6
11-9170,,,,5.2,,,57.1,60.1
11-9171,Associate's degree,Less than 5 years,No on-the-job training,4.1,2.6,76830.0,32.1,33.4
11-9179,High school diploma or equivalent,Less than 5 years,No on-the-job training,6.5,2.1,61340.0,25.099999999999998,26.7
11-9199,Bachelor's degree,Less than 5 years,No on-the-job training,4.5,106.7,136550.0,1333.7,1393.5
13-1000,,,,5.5,,,7921.099999999999,8356.3
13-1011,Bachelor's degree,Less than 5 years,No on-the-job training,8.7,2.2,96310.0,21.3,23.2
13-1020,Bachelor's degree,No experience required,Moderate-term on-the-job training,5.8,52.2,75650.0,522.1999999999999,552.3
13-1030,,,,-5.2,,,365.2,346.3
13-1031,High school diploma or equivalent,No experience required,Long-term on-the-job training,-5.1,21.1,76790.0,356.09999999999997,337.9
13-1032,Postsecondary nondegree award,No experience required,Moderate-term on-the-job training,-8.2,0.5,76650.0,9.200000000000001,8.4
13-1041,Bachelor's degree,No experience required,Moderate-term on-the-job training,3.0,33.3,78420.0,418.0,430.3
13-1051,Bachelor's degree,No experience required,Moderate-term on-the-job training,-4.2,16.9,77070.0,221.4,212.1
13-1070,,,,5.8,,,1013.6999999999999,1072.3
13-1071,Bachelor's degree,No experience required,No on-the-job training,6.2,81.8,72910.0,944.3000000000001,1002.7
13-1074,No formal educational credential,Less than 5 years,Short-term on-the-job training,6.0,0.3,48690.0,4.0,4.2
13-1075,Bachelor's degree,Less than 5 years,No on-the-job training,-0.1,5.1,93500.0,65.5,65.4
13-1080,,,,7.7,,,1287.2,1386.2
13-1081,Bachelor's degree,No experience required,No on-the-job training,16.7,26.4,80880.0,241.0,281.3
13-1082,Bachelor's degree,No experience required,No on-the-job training,5.6,78.2,100750.0,1046.3,1105.0
13-1111,Bachelor's degree,Less than 5 years,No on-the-job training,8.8,98.1,101190.0,1075.2,1169.7
13-1121,Bachelor's degree,No experience required,No on-the-job training,4.8,15.5,59440.0,155.8,163.3
13-1131,Bachelor's degree,No experience required,No on-the-job training,4.3,10.2,66490.0,134.39999999999998,140.2
13-1141,Bachelor's degree,Less than 5 years,No on-the-job training,5.3,8.5,77020.0,107.10000000000001,112.7
13-1151,Bachelor's degree,Less than 5 years,No on-the-job training,10.8,43.9,65850.0,452.3,501.0
