skill_a,skill_b,support_occupations,support_rate,freq_a,freq_b,lift,synergy_score
Office suite software,Spreadsheet software,799,0.9069239500567536,813,854,1.0138513211830011,810.0672056252179
Spreadsheet software,Word processing software,778,0.8830874006810443,854,785,1.0224168021599367,795.4402720804308
Office suite software,Word processing software,744,0.8444948921679909,813,785,1.0270430347615578,764.120017862599
Presentation software,Word processing software,610,0.6923950056753689,629,785,1.0883922513746418,663.9192733385315
Configuration management software,Expert system software,26,0.029511918274687854,31,29,25.47942157953281,662.4649610678531
Office suite software,Presentation software,619,0.70261066969353,813,629,1.0664128421888353,660.109549314889
Electronic mail software,Word processing software,612,0.6946651532349603,638,785,1.0765569155202364,658.8528322983847
Electronic mail software,Spreadsheet software,635,0.720771850170261,638,854,1.026765066476768,651.9958172127477
Presentation software,Spreadsheet software,628,0.7128263337116912,629,854,1.0299758361474851,646.8248251006206
Electronic mail software,Office suite software,612,0.6946651532349603,638,813,1.03947992457981,636.1617138428438
Electronic mail software,Presentation software,524,0.5947786606129398,638,629,1.1503655601018685,602.7915534933791
Internet directory services software,Network security and virtual private network VPN equipment software,10,0.011350737797956867,14,11,57.20779220779221,572.077922077922
Internet directory services software,Switch or router software,9,0.01021566401816118,14,9,62.92857142857143,566.3571428571429
Application server software,Expert system software,27,0.03064699205448354,41,29,20.00588730025231,540.1589571068124
Data base user interface and query software,Presentation software,393,0.4460839954597049,413,629,1.3328085242342471,523.7937500240591
Configuration management software,Object oriented data base management software,24,0.02724177071509648,31,32,21.31451612903226,511.54838709677426
Application server software,Configuration management software,26,0.029511918274687854,41,31,18.022029897718333,468.5727773406767
Application server software,Object oriented data base management software,26,0.029511918274687854,41,32,17.458841463414636,453.92987804878055
Analytical or scientific software,Object or component oriented development software,137,0.15550510783200908,186,198,3.2773161724774624,448.99231562941236
Cloud-based management software,Expert system software,25,0.028376844494892167,43,29,17.662389735364876,441.5597433841219
Desktop publishing software,Graphics or photo imaging software,87,0.09875141884222474,88,172,5.063887420718816,440.55820560253693
Network security and virtual private network VPN equipment software,Switch or router software,7,0.007945516458569807,11,9,62.292929292929294,436.0505050505051
Development environment software,Object or component oriented development software,119,0.13507377979568672,145,198,3.6516544757924065,434.54688261929635
Cloud-based management software,Object oriented data base management software,26,0.029511918274687854,43,32,16.646802325581397,432.81686046511635
Data base user interface and query software,Office suite software,404,0.4585698070374574,413,813,1.0600263871888114,428.2506604242798
Application server software,File versioning software,32,0.036322360953461974,41,52,13.223264540337711,423.14446529080675
Application server software,Cloud-based management software,29,0.032917139614074914,41,43,14.491775382870108,420.2614861032331
Data base user interface and query software,Spreadsheet software,410,0.46538024971623154,413,854,1.024122346910423,419.89016223327343
Data base user interface and query software,Word processing software,393,0.4460839954597049,413,785,1.0679446646411992,419.7022532039913
Expert system software,Object oriented data base management software,21,0.02383654937570942,29,32,19.936422413793103,418.6648706896552
Cloud-based management software,Configuration management software,25,0.028376844494892167,43,31,16.522880720180044,413.0720180045011
Data base user interface and query software,Electronic mail software,350,0.39727582292849034,413,638,1.1702353753785664,409.5823813824982
Expert system software,Program testing software,19,0.021566401816118047,29,28,20.614532019704434,391.6761083743842
Configuration management software,Program testing software,19,0.021566401816118047,31,28,19.284562211981566,366.40668202764977
Expert system software,File versioning software,25,0.028376844494892167,29,52,14.605437665782492,365.1359416445623
Analytical or scientific software,Development environment software,105,0.1191827468785471,186,145,3.4299221357063403,360.1418242491657
File versioning software,Object oriented data base management software,26,0.029511918274687854,52,32,13.765625,357.90625
Process mapping and design software,Project management software,113,0.1282633371169126,146,221,3.0853839955370983,348.6483914956921
Data base user interface and query software,Project management software,189,0.21452894438138478,413,221,1.8242963417439988,344.79200858961576
Application server software,Content workflow software,25,0.028376844494892167,41,39,13.774233896185116,344.3558474046279
Content workflow software,Object oriented data base management software,22,0.024971623155505107,39,32,15.530448717948719,341.6698717948718
Business intelligence and data analysis software,Data base management system software,52,0.05902383654937571,80,91,6.292857142857144,327.22857142857146
Data base user interface and query software,Document management software,196,0.2224744608399546,413,252,1.6591337099811676,325.1902071563089
Office suite software,Operating system software,312,0.35414301929625425,813,326,1.0371041133724221,323.5764833721957
Data base management system software,Development environment software,69,0.07832009080590238,91,145,4.606972338006821,317.88109132247064
Data base user interface and query software,Enterprise resource planning ERP software,210,0.2383654937570942,413,297,1.5083033727101522,316.74370826913196
Enterprise resource planning ERP software,Office suite software,294,0.3337116912599319,297,813,1.0726949693739363,315.3723209959373
Document management software,Presentation software,238,0.27014755959137343,252,629,1.322822822822823,314.83183183183183
Configuration management software,File versioning software,24,0.02724177071509648,31,52,13.116625310173697,314.79900744416875
Operating system software,Spreadsheet software,315,0.35754824063564133,326,854,0.9968067987528916,313.9941416071608
Enterprise resource planning ERP software,Word processing software,287,0.3257661748013621,297,785,1.084505350747389,311.25303566450066
Data mining software,Sales and marketing software,21,0.02383654937570942,36,35,14.683333333333332,308.34999999999997
Application server software,Program testing software,20,0.022701475595913734,41,28,15.348432055749129,306.9686411149826
Enterprise resource planning ERP software,Spreadsheet software,296,0.33598183881952326,297,854,1.0281424707654214,304.3301713465647
Enterprise resource planning ERP software,Presentation software,252,0.28603859250851305,297,629,1.188418364888953,299.4814279520162
Analytical or scientific software,Data base user interface and query software,161,0.18274687854710556,186,413,1.8464552578822673,297.27929651904503
Application server software,Data base reporting software,20,0.022701475595913734,41,29,14.819175777964675,296.3835155592935
Presentation software,Project management software,216,0.24517593643586832,629,221,1.3689473343452583,295.6926242185758
Cloud-based management software,Data base management system software,36,0.04086265607264472,43,91,8.105290058778431,291.79044211602354
Electronic mail software,Enterprise resource planning ERP software,250,0.28376844494892167,638,297,1.1623550024803944,290.5887506200986
Data base user interface and query software,Object or component oriented development software,164,0.18615209988649262,413,198,1.7668696651747497,289.76662508865894
Cloud-based management software,File versioning software,27,0.03064699205448354,43,52,10.638193202146692,287.23121645796067
Development environment software,Process mapping and design software,83,0.094211123723042,145,146,3.4540859707132734,286.6891355692017
Analytical or scientific software,Process mapping and design software,94,0.10669693530079455,186,146,3.049565473560171,286.65915451465605
Enterprise resource planning ERP software,Project management software,146,0.16572077185017026,297,221,1.9596569008333715,286.10990752167226
Enterprise application integration software,Web platform development software,67,0.07604994324631101,96,144,4.269892939814815,286.0828269675926
Object oriented data base management software,Program testing software,17,0.019296254256526674,32,28,16.715401785714285,284.16183035714283
Operating system software,Presentation software,257,0.2917139614074915,326,629,1.1041823129517103,283.77485442858955
Object or component oriented development software,Process mapping and design software,96,0.10896708286038592,198,146,2.9256953092569535,280.86674968866754
Cloud-based management software,Content workflow software,23,0.026106696935300794,43,39,12.08288610614192,277.90638044126416
Development environment software,Enterprise application integration software,66,0.07491486946651532,145,96,4.177155172413793,275.69224137931036
Data base reporting software,Object oriented data base management software,17,0.019296254256526674,29,32,16.139008620689655,274.3631465517241
Application server software,Data base management system software,34,0.03859250851305335,41,91,8.028410613776467,272.96596086839986
Desktop publishing software,Video creation and editing software,33,0.03745743473325766,88,40,8.259375,272.559375
Data base user interface and query software,Operating system software,204,0.23155505107832008,413,326,1.3348683135518946,272.3131359645865
Operating system software,Word processing software,281,0.318955732122588,326,785,0.9673752491110156,271.8324450001954
Content workflow software,File versioning software,25,0.028376844494892167,39,52,10.860453648915188,271.5113412228797
Document management software,Project management software,131,0.14869466515323496,252,221,2.072308410543705,271.47240178122536
Document management software,Office suite software,251,0.2849035187287174,252,813,1.0793406743591245,270.91450926414024
Data base reporting software,Expert system software,16,0.018161180476730987,29,29,16.76099881093936,268.17598097502974
Data base management system software,Object or component oriented development software,74,0.08399545970488081,91,198,3.6182706182706186,267.75202575202576
Document management software,Electronic mail software,221,0.2508513053348468,252,638,1.211007861869931,267.63273747325474
Document management software,Word processing software,245,0.27809307604994327,252,785,1.091118188251946,267.3239561217268
Data base user interface and query software,Process mapping and design software,135,0.1532349602724177,413,146,1.9724534810441472,266.2812199409599
Document management software,Graphics or photo imaging software,114,0.12939841089670828,252,172,2.3171373200442966,264.1536544850498
Analytical or scientific software,Project management software,111,0.12599318955732122,186,221,2.378995767041308,264.0685301415852
Configuration management software,Content workflow software,19,0.021566401816118047,31,39,13.845326716294458,263.0612076095947
Data base user interface and query software,Development environment software,133,0.15096481271282633,413,145,1.9566335476329633,260.2322618351841
Application server software,Enterprise application integration software,34,0.03859250851305335,41,96,7.6102642276422765,258.7489837398374
Development environment software,Project management software,97,0.11010215664018161,145,221,2.6667810890934622,258.6777656420658
Object or component oriented development software,Presentation software,191,0.21679909194097616,198,629,1.3511184981773219,258.0636331518685
Analytical or scientific software,Business intelligence and data analysis software,66,0.07491486946651532,186,80,3.9076612903225807,257.90564516129035
Content workflow software,Enterprise application integration software,33,0.03745743473325766,39,96,7.7652243589743595,256.25240384615387
Document management software,Spreadsheet software,250,0.28376844494892167,252,854,1.023428497081893,255.85712427047324
Cloud-based management software,Data base reporting software,19,0.021566401816118047,43,29,13.423416198877305,255.0449077786688
Data base management system software,Process mapping and design software,62,0.07037457434733257,91,146,4.111244919464098,254.89718500677407
Data base management system software,Object oriented data base management software,29,0.032917139614074914,91,32,8.773695054945055,254.4371565934066
Content workflow software,Expert system software,18,0.02043132803632236,39,29,14.021220159151193,252.3819628647215
Content workflow software,Data base reporting software,18,0.02043132803632236,39,29,14.021220159151193,252.3819628647215
